iteration,best_fitness_neg,best_auc,mean_fitness_neg
1,-0.99875,0.99875,-0.9954291666666669
2,-0.998875,0.998875,-0.9958062500000001
3,-0.999,0.999,-0.9964791666666668
4,-0.999,0.999,-0.9965041666666667
5,-0.999,0.999,-0.99630625
6,-0.999,0.999,-0.9955125
7,-0.999,0.999,-0.9962125000000002
8,-0.999,0.999,-0.9963729166666667
9,-0.999,0.999,-0.9962458333333333
10,-0.999,0.999,-0.9964958333333335
11,-0.999,0.999,-0.9959666666666667
12,-0.999,0.999,-0.9963791666666666
13,-0.999125,0.999125,-0.9967958333333333
14,-0.999125,0.999125,-0.9961416666666667
15,-0.999125,0.999125,-0.9962624999999998
16,-0.999125,0.999125,-0.9960041666666668
17,-0.999125,0.999125,-0.9963791666666668
18,-0.999125,0.999125,-0.9966916666666666
19,-0.999125,0.999125,-0.9961041666666667
20,-0.999125,0.999125,-0.996375
21,-0.999125,0.999125,-0.9960583333333334
22,-0.999125,0.999125,-0.9965791666666667
23,-0.999125,0.999125,-0.9967791666666668
24,-0.999125,0.999125,-0.9961833333333333
25,-0.999125,0.999125,-0.9962333333333332
26,-0.999125,0.999125,-0.9958916666666667
27,-0.999125,0.999125,-0.996325
28,-0.999125,0.999125,-0.9965166666666665
29,-0.999125,0.999125,-0.9959833333333334
30,-0.999125,0.999125,-0.9965458333333331
31,-0.999125,0.999125,-0.9959083333333335
32,-0.999125,0.999125,-0.9961833333333335
33,-0.999125,0.999125,-0.9965416666666668
34,-0.999125,0.999125,-0.9959874999999999
35,-0.999125,0.999125,-0.9964916666666668
36,-0.999125,0.999125,-0.9958333333333332
37,-0.999125,0.999125,-0.9961916666666667
38,-0.999125,0.999125,-0.9968833333333332
39,-0.999125,0.999125,-0.9957958333333333
40,-0.999125,0.999125,-0.9963125
41,-0.99925,0.99925,-0.9962250000000001
42,-0.99925,0.99925,-0.9964083333333336
43,-0.99925,0.99925,-0.9968791666666665
44,-0.99925,0.99925,-0.9958791666666665
45,-0.99925,0.99925,-0.99645
46,-0.99925,0.99925,-0.9960916666666666
47,-0.99925,0.99925,-0.9961416666666666
48,-0.99925,0.99925,-0.9968583333333335
49,-0.99925,0.99925,-0.9958166666666666
50,-0.99925,0.99925,-0.9962958333333333
